epoch_pct,data_idx,acc_real,acc_fake,loss_real,loss_fake,avg_confidence_real,avg_confidence_fake
0.027410,4096,1.000000,1.000000,0.000511,0.001238,0.999521,0.998763
0.301507,45056,0.998047,1.000000,0.004241,0.001356,0.996638,0.998649
0.575604,86016,0.993652,1.000000,0.037333,0.008044,0.970724,0.992155
0.849702,126976,0.987793,1.000000,0.060941,0.014604,0.949505,0.985783
1.123799,167936,0.976562,1.000000,0.071091,0.018130,0.948372,0.982322
1.397896,208896,0.983887,0.998047,0.065659,0.025006,0.947331,0.976865
1.671993,249856,0.981934,0.997070,0.084285,0.029734,0.932953,0.975073
1.946091,290816,0.980957,0.999023,0.074214,0.024752,0.940451,0.976783
2.220188,331776,0.994629,0.999023,0.053193,0.026900,0.953016,0.975212
2.494285,372736,0.982910,0.997559,0.073997,0.031764,0.942507,0.971415
2.768382,413696,0.985840,0.991699,0.083227,0.047995,0.935981,0.962058
3.042480,454656,0.984375,0.994141,0.068999,0.035709,0.946380,0.970109
3.316577,495616,0.966797,0.999512,0.105902,0.022066,0.920566,0.979048
3.590674,536576,0.986328,0.993164,0.070833,0.049217,0.941211,0.957104
3.864772,577536,0.978027,0.993652,0.085396,0.044209,0.935614,0.963146
4.138869,618496,0.980469,0.991699,0.085688,0.049231,0.934039,0.959357
4.412966,659456,0.958984,0.995605,0.138556,0.034770,0.898042,0.970616
4.687063,700416,0.964355,0.992188,0.119194,0.049095,0.909329,0.958287
4.961161,741376,0.964844,0.969238,0.127617,0.103342,0.909118,0.920273
5.235258,782336,0.961426,0.989746,0.128279,0.050335,0.904827,0.958962
5.509355,823296,0.958496,0.980957,0.135797,0.070273,0.900904,0.947022
5.783452,864256,0.973145,0.992676,0.089398,0.034260,0.935523,0.973364
6.057550,905216,0.980469,0.977051,0.083270,0.069850,0.937110,0.945952
6.331647,946176,0.962402,0.977051,0.124191,0.074481,0.912482,0.943900
6.605744,987136,0.960449,0.981934,0.115277,0.071623,0.924484,0.944730
6.879842,1028096,0.970703,0.971680,0.102724,0.088938,0.931297,0.934313
7.153939,1069056,0.949707,0.973145,0.144793,0.082487,0.910883,0.939234
7.428036,1110016,0.906250,0.990723,0.230151,0.037712,0.871301,0.971817
7.702133,1150976,0.942871,0.982422,0.155519,0.062745,0.900401,0.954430
7.976231,1191936,0.945801,0.985840,0.145743,0.059657,0.906283,0.953399
8.250328,1232896,0.909180,0.968262,0.228879,0.102904,0.855825,0.921295
8.524425,1273856,0.945801,0.974609,0.144903,0.098989,0.901289,0.921307
8.798522,1314816,0.943848,0.970703,0.152099,0.094173,0.902466,0.929298
9.072620,1355776,0.937988,0.970215,0.163145,0.101215,0.898636,0.923024
9.346717,1396736,0.937012,0.969727,0.155066,0.101437,0.899510,0.920888
9.620814,1437696,0.932617,0.981445,0.175397,0.077497,0.888812,0.940259
9.894912,1478656,0.939453,0.980469,0.164738,0.074206,0.892245,0.942262
10.169009,1519616,0.961426,0.962402,0.118625,0.110473,0.919332,0.918545
