time,mem_used,mem_avail
2023-05-01 14:12:19.156331,7187808,24229076
2023-05-01 14:12:49.184877,8176612,23235496
2023-05-01 14:13:19.216243,8026408,23389808
2023-05-01 14:13:49.220458,7871420,23544284
2023-05-01 14:14:19.252169,7916576,23498104
2023-05-01 14:14:49.283964,7959712,23454968
2023-05-01 14:15:19.313032,8433464,22979068
2023-05-01 14:15:49.345008,8293136,23117512
2023-05-01 14:16:19.376482,8167668,23246824
2023-05-01 14:16:49.408182,8229088,23178612
2023-05-01 14:17:19.439933,8711048,22702804
2023-05-01 14:17:49.471488,8764556,22653968
2023-05-01 14:18:19.501035,8626148,22788152
2023-05-01 14:18:49.533049,8509120,22899032
2023-05-01 14:19:19.564808,8584796,22829504
2023-05-01 14:19:49.596315,8646592,22767096
2023-05-01 14:20:19.625109,9105692,22308800
2023-05-01 14:20:49.657072,8777132,22630348
2023-05-01 14:21:19.684989,8848572,22566048
2023-05-01 14:21:49.713260,8900184,22514180
2023-05-01 14:22:19.744948,9369640,22048568
2023-05-01 14:22:49.776476,9051072,22363468
2023-05-01 14:23:19.807855,9109408,22307052
2023-05-01 14:23:49.837218,9107792,22308428
2023-05-01 14:24:19.864478,9544752,21871972
2023-05-01 14:24:49.896184,9416812,21999536
2023-05-01 14:25:19.925026,9272208,22144588
2023-05-01 14:25:49.952865,9013964,22402952
2023-05-01 14:26:19.984521,9457384,21959476
2023-05-01 14:26:50.016162,9551328,21865148
2023-05-01 14:27:20.048247,9292548,22123672
2023-05-01 14:27:50.080067,9287752,22133272
2023-05-01 14:28:20.085217,9369860,22040280
2023-05-01 14:28:50.095743,9450424,21966500
2023-05-01 14:29:20.127516,9704856,21711812
2023-05-01 14:29:50.159356,9559888,21856516
2023-05-01 14:30:20.185178,9632436,21777888
2023-05-01 14:30:50.216603,9729064,21687412
2023-05-01 14:31:20.234668,10142192,21274732
2023-05-01 14:31:50.266577,10002224,21414444
2023-05-01 14:32:20.298307,9911700,21492260
2023-05-01 14:32:50.328795,10081276,21334688
2023-05-01 14:33:20.357044,9727316,21687276
2023-05-01 14:33:50.388636,9709580,21705252
2023-05-01 14:34:20.420489,9757284,21657556
2023-05-01 14:34:50.449161,10206744,21214352
2023-05-01 14:35:20.480507,10234260,21186836
2023-05-01 14:35:50.512279,10079296,21341800
2023-05-01 14:36:20.544024,9918216,21502880
2023-05-01 14:36:50.573162,9972724,21448372
2023-05-01 14:37:20.600998,10033188,21387908
2023-05-01 14:37:50.629179,10470476,20950608
2023-05-01 14:38:20.660939,10112640,21308456
2023-05-01 14:38:50.692355,10163156,21257940
2023-05-01 14:39:20.723945,10290180,21130916
2023-05-01 14:39:50.755346,10743380,20677716
2023-05-01 14:40:20.785056,10583004,20838092
2023-05-01 14:40:50.817045,10430472,20990616
2023-05-01 14:41:20.848687,10468468,20952628
2023-05-01 14:41:50.880258,10532924,20888172
2023-05-01 14:42:20.908782,10576092,20845004
2023-05-01 14:42:50.937111,11012276,20408820
2023-05-01 14:43:20.969091,11040136,20380960
2023-05-01 14:43:51.000993,10711596,20709500
2023-05-01 14:44:21.028934,10764020,20657068
2023-05-01 14:44:51.060575,10802232,20618856
2023-05-01 14:45:21.088843,11255116,20165980
2023-05-01 14:45:51.097183,11424712,19996384
2023-05-01 14:46:21.128980,11146384,20274712
2023-05-01 14:46:51.160551,10996384,20424712
2023-05-01 14:47:21.192202,11045940,20360180
2023-05-01 14:47:51.221169,11451324,19956528
2023-05-01 14:48:21.253350,11661272,19753392
2023-05-01 14:48:51.285113,11112624,20308296
2023-05-01 14:49:21.316858,11170276,20250644
2023-05-01 14:49:51.348503,11214760,20206160
2023-05-01 14:50:21.356048,11256112,20164808
2023-05-01 14:50:51.385186,11700396,19720524
2023-05-01 14:51:21.416928,11331076,20088024
2023-05-01 14:51:51.448477,11385380,20035540
2023-05-01 14:52:21.480129,11437224,19983696
2023-05-01 14:52:51.509125,11877796,19543124
2023-05-01 14:53:21.540216,11534704,19884396
2023-05-01 14:53:51.572165,11582432,19838488
2023-05-01 14:54:21.603904,11635428,19785492
2023-05-01 14:54:51.635703,12092784,19328136
2023-05-01 14:55:21.667766,12328616,19090128
2023-05-01 14:55:51.699590,11796988,19613440
2023-05-01 14:56:21.731065,11876460,19533712
2023-05-01 14:56:51.763078,11969876,19439768
2023-05-01 14:57:21.792956,12032056,19383732
2023-05-01 14:57:51.821268,12489936,18926556
2023-05-01 14:58:21.853219,12724368,18691868
2023-05-01 14:58:51.884673,12249260,19160832
2023-05-01 14:59:21.913036,12878256,18390544
2023-05-01 14:59:51.941217,13638624,17633368
2023-05-01 15:00:21.956643,13052768,18235436
2023-05-01 15:00:51.970010,12286120,19128016
2023-05-01 15:01:22.001699,12277816,19137004
2023-05-01 15:01:52.033597,12315928,19105148
2023-05-01 15:02:22.065144,12758640,18662436
2023-05-01 15:02:52.077166,12420004,18998896
2023-05-01 15:03:22.108873,12458708,18962368
2023-05-01 15:03:52.140551,12500964,18920112
2023-05-01 15:04:22.172559,13007216,18413860
2023-05-01 15:04:52.201166,12799960,18618940
2023-05-01 15:05:22.232933,12645180,18775896
2023-05-01 15:05:52.264833,12681976,18736924
2023-05-01 15:06:22.296368,12751012,18670064
2023-05-01 15:06:52.325346,13176012,18245064
2023-05-01 15:07:22.357038,13224244,18196832
2023-05-01 15:07:52.385013,13069996,18351080
2023-05-01 15:08:22.412491,12937316,18481584
2023-05-01 15:08:52.444310,12972836,18437820
2023-05-01 15:09:22.475620,13005648,18409188
2023-05-01 15:09:52.507666,13424424,17996668
2023-05-01 15:10:22.539543,13077504,18343588
2023-05-01 15:10:52.571560,13140508,18280584
2023-05-01 15:11:22.603343,13177956,18243136
2023-05-01 15:11:52.633100,13240080,18181012
2023-05-01 15:12:22.665088,13677720,17743380
2023-05-01 15:12:52.697018,13723472,17697628
2023-05-01 15:13:22.728554,13559612,17861488
2023-05-01 15:13:52.731134,13431644,17989456
2023-05-01 15:14:22.762971,13528640,17892460
2023-05-01 15:14:52.794726,13570720,17850380
2023-05-01 15:15:22.825041,14007288,17413812
2023-05-01 15:15:52.857078,13674028,17747072
2023-05-01 15:16:22.885087,13726472,17694628
2023-05-01 15:16:52.893023,13760292,17648120
2023-05-01 15:17:22.924590,13831728,17572024
2023-05-01 15:17:52.953150,14335240,17080972
2023-05-01 15:18:22.981070,14187100,17228856
2023-05-01 15:18:53.012988,14043456,17377240
2023-05-01 15:19:23.040834,14127644,17282604
2023-05-01 15:19:53.069261,14615156,16801504
2023-05-01 15:20:23.101169,14620980,16795424
2023-05-01 15:20:53.132987,14333700,17082448
2023-05-01 15:21:23.164462,14409860,17000168
2023-05-01 15:21:53.196291,14477968,16938244
2023-05-01 15:22:23.225162,14921640,16495020
2023-05-01 15:22:53.252491,14791660,16624744
2023-05-01 15:23:23.281356,14690624,16720120
2023-05-01 15:23:53.313121,14734512,16682016
2023-05-01 15:24:23.345073,14772060,16648316
2023-05-01 15:24:53.373283,15183060,16233680
2023-05-01 15:25:23.405025,14873596,16538536
2023-05-01 15:25:53.436996,14892936,16523864
2023-05-01 15:26:23.468755,14929836,16486712
2023-05-01 15:26:53.497130,15369296,16046996
2023-05-01 15:27:23.528970,15047036,16369640
2023-05-01 15:27:53.537054,15079924,16336496
2023-05-01 15:28:23.568871,15120364,16295800
2023-05-01 15:28:53.600622,15572452,15848388
2023-05-01 15:29:23.629101,15631436,15784920
2023-05-01 15:29:53.660968,15459468,15957208
2023-05-01 15:30:23.680968,15318888,16097532
2023-05-01 15:30:53.713070,15393028,16019424
2023-05-01 15:31:23.744848,15429504,15986908
2023-05-01 15:31:53.776760,15463088,15953076
2023-05-01 15:32:23.808322,15896928,15519684
2023-05-01 15:32:53.839883,15571200,15845028
2023-05-01 15:33:23.871627,15598828,15817912
2023-05-01 15:33:53.903467,15645884,15770600
2023-05-01 15:34:23.933173,15693828,15724312
2023-05-01 15:34:53.961241,16166548,15249992
2023-05-01 15:35:23.992977,16057516,15362780
2023-05-01 15:35:54.025599,16043100,15373640
2023-05-01 15:36:24.057313,15924700,15487076
2023-05-01 15:36:54.089228,15929296,15487572
2023-05-01 15:37:24.120829,15996192,15420420
2023-05-01 15:37:54.152378,16419524,14996832
2023-05-01 15:38:24.184247,16097944,15318504
2023-05-01 15:38:54.215856,16141304,15275116
2023-05-01 15:39:24.247640,16188376,15227788
2023-05-01 15:39:54.279078,16603552,14817288
2023-05-01 15:40:24.310354,16663284,14753072
2023-05-01 15:40:54.342111,16539880,14876796
2023-05-01 15:41:24.373880,16357116,15059304
2023-05-01 15:41:54.404510,16407708,15002568
2023-05-01 15:42:24.436109,16444132,14972288
2023-05-01 15:42:54.465208,16915856,14500308
2023-05-01 15:43:24.497178,16905368,14511244
2023-05-01 15:43:54.505009,16596712,14815520
2023-05-01 15:44:24.525295,16620944,14795796
2023-05-01 15:44:54.557435,16682020,14734464
2023-05-01 15:45:24.588529,17179988,14240340
2023-05-01 15:45:54.620297,16997796,14418688
2023-05-01 15:46:24.652200,16859944,14556284
2023-05-01 15:46:54.683908,16836464,14580212
2023-05-01 15:47:24.712682,16921248,14488848
2023-05-01 15:47:54.744151,16938796,14477880
2023-05-01 15:48:24.773122,17415772,14000648
2023-05-01 15:48:54.804678,17623880,13792284
2023-05-01 15:49:24.836387,17111656,14300248
2023-05-01 15:49:54.845693,17148620,14267608
2023-05-01 15:50:24.877640,17209436,14207304
2023-05-01 15:50:54.909558,17703868,13716716
2023-05-01 15:51:24.940713,17502864,13913876
