time,mem_used,mem_avail
2023-05-01 18:58:33.278248,15139892,16219724
2023-05-01 18:59:03.308772,15195952,16166284
2023-05-01 18:59:33.336897,15226628,16135364
2023-05-01 19:00:03.364746,14857572,16495572
2023-05-01 19:00:33.396015,14686080,16671784
2023-05-01 19:01:03.427502,14653728,16706412
2023-05-01 19:01:33.457601,14704384,16662012
2023-05-01 19:02:03.488554,15200488,16165908
2023-05-01 19:02:33.508691,15183596,16182444
2023-05-01 19:03:03.539812,15031380,16335016
2023-05-01 19:03:33.571266,14887064,16479332
2023-05-01 19:04:03.600462,14966832,16384732
2023-05-01 19:04:33.631932,14967020,16393120
2023-05-01 19:05:03.660806,15024812,16341584
2023-05-01 19:05:33.690349,15511136,15855260
2023-05-01 19:06:03.721681,15502580,15863816
2023-05-01 19:06:33.753215,15345016,16021380
2023-05-01 19:07:03.781143,15247356,16119040
2023-05-01 19:07:33.812817,15250456,16113764
2023-05-01 19:08:03.840649,15325092,16024188
2023-05-01 19:08:33.872203,15390808,15964808
2023-05-01 19:09:03.903701,16840128,14380132
2023-05-01 19:09:33.935053,16550572,14669476
2023-05-01 19:10:03.966292,16573256,14646336
2023-05-01 19:10:33.979112,16501844,14730192
2023-05-01 19:11:04.010749,16932552,14299228
2023-05-01 19:11:34.042366,16851676,14380424
2023-05-01 19:12:04.073744,16720804,14511040
2023-05-01 19:12:34.105203,16784152,14439844
2023-05-01 19:13:04.136725,16838696,14386812
2023-05-01 19:13:34.168208,16896280,14336072
2023-05-01 19:14:04.199533,17013280,14218820
2023-05-01 19:14:34.228859,16596268,14769416
2023-05-01 19:15:04.260207,16309260,15050532
2023-05-01 19:15:34.268725,16399092,14962612
2023-05-01 19:16:04.285869,16404800,14956656
2023-05-01 19:16:34.317430,17416892,13744840
2023-05-01 19:17:04.348557,17431052,13797880
2023-05-01 19:17:34.380105,17144372,14076540
2023-05-01 19:18:04.411675,17107936,14123444
2023-05-01 19:18:34.440839,17203988,14022564
2023-05-01 19:19:04.472290,17234444,13997064
2023-05-01 19:19:34.503969,17280644,13950624
2023-05-01 19:20:04.532672,17852620,13368112
2023-05-01 19:20:34.564091,17638468,13581876
2023-05-01 19:21:04.595548,16871564,14485304
2023-05-01 19:21:34.627123,16596132,14764008
2023-05-01 19:22:04.656448,16638228,14728168
2023-05-01 19:22:34.688001,16670576,14695820
2023-05-01 19:23:04.700565,16725756,14640640
2023-05-01 19:23:34.732045,17138588,14227808
2023-05-01 19:24:04.760689,17024780,14339440
2023-05-01 19:24:34.792327,16888992,14466912
2023-05-01 19:25:04.823907,16972684,14382956
2023-05-01 19:25:34.852783,17501160,13726332
2023-05-01 19:26:04.880732,18211248,13021516
2023-05-01 19:26:34.908759,18067732,13170920
2023-05-01 19:27:04.940175,17929136,13309260
2023-05-01 19:27:34.971813,18056368,13169952
2023-05-01 19:28:05.003277,18084244,13154336
2023-05-01 19:28:35.032874,18149260,13093812
2023-05-01 19:29:05.060764,18660676,12578040
2023-05-01 19:29:35.091985,18668252,12570080
2023-05-01 19:30:05.120703,18519168,12719612
2023-05-01 19:30:35.152102,18401640,12836876
2023-05-01 19:31:05.183572,18482364,12752012
2023-05-01 19:31:35.212823,18547944,12690772
2023-05-01 19:32:05.244004,18609740,12632820
2023-05-01 19:32:35.272445,19589372,11555980
2023-05-01 19:33:05.300519,19387612,11747992
2023-05-01 19:33:35.328603,19681040,11481156
2023-05-01 19:34:05.356676,19509852,11655096
2023-05-01 19:34:35.384792,19502752,11657052
2023-05-01 19:35:05.412436,19610488,11550256
2023-05-01 19:35:35.440656,19642820,11518068
2023-05-01 19:36:05.469259,19748540,11392248
2023-05-01 19:36:35.499345,20197308,10962556
2023-05-01 19:37:05.528318,20350908,10818320
2023-05-01 19:37:35.559823,20062332,11094308
2023-05-01 19:38:05.588623,20446124,10726684
2023-05-01 19:38:35.616765,20042268,11135780
2023-05-01 19:39:05.645376,20498220,10681416
2023-05-01 19:39:35.675342,20129092,11047976
2023-05-01 19:40:05.704780,20704880,10477388
2023-05-01 19:40:35.734228,20236328,10935620
2023-05-01 19:41:05.756336,20348576,10823880
2023-05-01 19:41:35.784555,20360052,10816684
2023-05-01 19:42:05.808690,20389592,10787204
2023-05-01 19:42:35.837236,20963212,10196924
2023-05-01 19:43:05.864740,20735780,10384288
2023-05-01 19:43:35.892710,21166952,10004488
2023-05-01 19:44:05.921144,21335204,9805784
2023-05-01 19:44:35.951151,20970764,10169516
2023-05-01 19:45:05.980505,20987156,10159280
2023-05-01 19:45:36.008732,21080080,10065648
2023-05-01 19:46:06.036335,21542540,9600756
2023-05-01 19:46:36.064745,21127604,10017876
2023-05-01 19:47:06.092754,21167280,9981592
2023-05-01 19:47:36.120719,21726568,9413324
2023-05-01 19:48:06.148449,21282748,9861536
2023-05-01 19:48:36.176345,21531000,9611552
2023-05-01 19:49:06.204480,21440976,9696236
2023-05-01 19:49:36.232724,21509516,9629228
2023-05-01 19:50:06.263311,21494336,9642436
2023-05-01 19:50:36.294708,21272132,9849708
2023-05-01 19:51:06.296328,21692516,9444736
2023-05-01 19:51:36.324689,21505228,9625012
2023-05-01 19:52:06.352779,21723676,9416708
2023-05-01 19:52:36.382225,21758640,9371480
2023-05-01 19:53:06.412766,21832820,9309648
2023-05-01 19:53:36.441057,22440700,8696836
2023-05-01 19:54:06.468362,21934648,9208476
2023-05-01 19:54:36.498339,22362096,8777820
2023-05-01 19:55:06.528330,22586032,8484760
2023-05-01 19:55:36.559130,22286620,8805960
2023-05-01 19:56:06.588665,22677856,8438700
2023-05-01 19:56:36.617011,22336924,8779604
2023-05-01 19:57:06.644449,22336332,8761340
2023-05-01 19:57:36.675596,22202784,8890956
2023-05-01 19:58:06.704664,22091220,9037768
2023-05-01 19:58:36.732680,22502540,8640104
2023-05-01 19:59:06.760778,22191132,8948696
2023-05-01 19:59:36.788831,22730236,8412600
2023-05-01 20:00:06.816423,22396112,8747872
2023-05-01 20:00:36.844771,22529104,8604096
2023-05-01 20:01:06.872395,22526856,8608176
2023-05-01 20:01:36.903878,23044644,8066668
2023-05-01 20:02:06.932595,22695784,8421128
2023-05-01 20:02:36.960732,22778676,8324172
2023-05-01 20:03:06.989884,22846832,8271928
2023-05-01 20:03:37.021264,23316408,7808816
2023-05-01 20:04:07.048809,23040716,8114836
2023-05-01 20:04:37.076592,23109540,8081608
2023-05-01 20:05:07.106410,23494500,7696432
2023-05-01 20:05:37.136661,23135044,8054860
2023-05-01 20:06:07.164695,23200796,7982660
2023-05-01 20:06:37.195959,23313536,7877332
2023-05-01 20:07:07.224527,23692864,7495652
2023-05-01 20:07:37.252775,23810856,7369408
2023-05-01 20:08:07.280354,23812316,7376692
2023-05-01 20:08:37.308447,23380400,7801220
2023-05-01 20:09:07.336702,23585040,7602820
2023-05-01 20:09:37.364716,23635960,7551660
2023-05-01 20:10:07.392662,23648248,7548512
2023-05-01 20:10:37.420498,24190268,7001944
2023-05-01 20:11:07.450883,24048840,7144340
2023-05-01 20:11:37.480683,24087712,7103852
2023-05-01 20:12:07.508880,24110896,7079888
2023-05-01 20:12:37.536413,24258348,6926284
2023-05-01 20:13:07.564821,23829976,7364160
2023-05-01 20:13:37.592788,24279924,6916184
2023-05-01 20:14:07.620518,24382880,6814572
2023-05-01 20:14:37.648793,24434648,6759920
2023-05-01 20:15:07.678117,24291432,6905760
2023-05-01 20:15:37.708371,24171880,7023588
2023-05-01 20:16:07.738038,24175304,7012344
2023-05-01 20:16:37.769127,24641248,6557932
2023-05-01 20:17:07.800051,24413576,6780280
2023-05-01 20:17:37.828355,24450568,6739904
